광역	광역코드	시군구	선거인수	투표수	유효투표수	무효투표수	기권수	경제공화당	대통합민주신당	무소속	민주노동당	민주당	새시대참사람연합	참주인연합	창조한국당	한국사회당	한나라당
서울특별시	1100	종로구	133946	85480	85157	323	48466	331	21515	9984	1889	398	13	56	5722	77	45172
서울특별시	1100	중구	106837	66496	66285	211	40341	240	17299	7278	1387	328	9	33	4324	52	35335
서울특별시	1100	용산구	190910	117051	116704	347	73859	486	25967	13554	2358	532	12	78	7544	77	66096
서울특별시	1100	성동구	266124	165391	164911	480	100733	727	41902	17389	3811	894	38	100	11330	118	88602
서울특별시	1100	광진구	297332	183412	182988	424	113920	943	46597	21275	4159	845	33	106	14052	114	94864
서울특별시	1100	동대문구	304410	190407	189801	606	114003	826	49064	20931	4443	910	41	79	12660	138	100709
서울특별시	1100	중랑구	337898	204119	203489	630	133779	1066	54085	23503	4913	961	31	89	13083	150	105608
서울특별시	1100	성북구	373761	235180	234542	638	138581	958	60790	25572	5597	1062	30	147	17007	193	123186
서울특별시	1100	강북구	277954	168236	167702	534	109718	770	47290	17373	4278	1039	36	91	10913	121	85791
서울특별시	1100	도봉구	293138	188015	187475	540	105123	795	46515	21578	4563	842	42	88	13355	101	99596
서울특별시	1100	노원구	466884	306503	305585	918	160381	1274	76021	37607	8445	1351	77	207	22951	213	157439
서울특별시	1100	은평구	362685	218004	217241	763	144681	1020	59909	26376	5069	1127	51	127	15139	183	108240
서울특별시	1100	서대문구	278848	174263	173769	494	104585	752	46522	20548	4364	828	24	118	12833	135	87645
서울특별시	1100	마포구	315333	194947	194415	532	120386	889	49343	23936	5627	863	35	120	16037	218	97347
서울특별시	1100	양천구	378841	241697	241065	632	137144	1011	59636	29211	5232	966	46	156	16751	137	127919
서울특별시	1100	강서구	436622	272240	271059	1181	164382	1440	68471	33701	6363	1335	51	189	20464	169	138876
서울특별시	1100	구로구	333323	211497	210897	600	121826	1021	55683	28102	5587	1169	31	110	16083	143	102968
서울특별시	1100	금천구	196513	118869	118454	415	77644	545	34966	15140	3289	767	28	64	7597	90	55968
서울특별시	1100	영등포구	325884	206002	205371	631	119882	873	51008	26129	4716	962	44	124	14819	138	106558
서울특별시	1100	동작구	326851	209902	209350	552	116949	980	53613	25411	4988	1010	49	144	16943	145	106067
서울특별시	1100	관악구	439707	268101	267400	701	171606	1321	77804	32942	8362	1695	56	167	23536	247	121270
서울특별시	1100	서초구	320018	212282	211836	446	107736	700	34112	23535	2969	582	15	133	13223	124	136443
서울특별시	1100	강남구	442286	283231	282618	613	159055	989	41493	31023	3806	722	23	177	16465	142	187778
서울특별시	1100	송파구	483567	313620	312799	821	169947	1344	66697	36436	5499	1100	53	162	20642	162	180704
서울특별시	1100	강동구	362024	231077	230456	621	130947	1104	51510	27692	4630	926	43	148	15308	114	128981
부산광역시	2600	중구	42111	25584	25464	120	16527	89	3226	4658	516	65	6	9	1208	15	15672
부산광역시	2600	서구	109489	65288	65010	278	44201	251	8314	11967	1566	169	19	31	3025	48	39620
부산광역시	2600	동구	87511	54017	53798	219	33494	242	6780	11067	1384	150	11	21	2402	33	31708
부산광역시	2600	영도구	127967	75664	75326	338	52303	284	13008	13807	2481	221	23	40	3613	38	41811
부산광역시	2600	부산진구	324855	200613	199973	640	124242	834	26287	40587	5511	558	40	81	10608	133	115334
부산광역시	2600	동래구	225283	144883	144475	408	80400	630	16957	28480	3669	313	23	53	7919	123	86308
부산광역시	2600	남구	237462	148749	148321	428	88713	576	19494	28994	4181	367	34	50	7962	89	86574
부산광역시	2600	북구	247521	154739	154195	544	92782	709	22441	32511	4895	433	36	81	8836	116	84137
부산광역시	2600	해운대구	322575	202750	202202	548	119825	747	26921	38551	5531	441	44	106	11234	125	118502
부산광역시	2600	기장군	62272	38759	38575	184	23513	165	4951	7513	1311	99	12	25	1684	16	22799
부산광역시	2600	사하구	283276	171149	170518	631	112127	699	24215	31723	4806	446	43	63	9619	122	98782
부산광역시	2600	금정구	206527	131508	131092	416	75019	585	15925	25631	3704	329	35	63	7393	91	77336
부산광역시	2600	강서구	43825	25623	25435	188	18202	95	3700	5237	722	99	5	20	994	14	14549
부산광역시	2600	연제구	169739	108433	108080	353	61306	504	13445	21688	2905	244	21	37	6072	84	63080
부산광역시	2600	수영구	144300	91170	90948	222	53130	395	10807	17574	2069	206	18	32	4961	54	54832
부산광역시	2600	사상구	208350	126302	125840	462	82048	546	20237	26331	3650	459	36	58	6755	97	67671
대구광역시	2700	중구	66234	43459	43302	157	22775	104	2502	7469	706	57	4	22	1525	31	30882
대구광역시	2700	동구	265762	176279	175576	703	89483	486	11357	32448	3560	299	38	70	7046	102	120170
대구광역시	2700	서구	190185	120295	119804	491	69890	302	6600	22579	2087	188	26	31	3907	86	83998
대구광역시	2700	남구	146210	92611	92260	351	53599	281	5457	17395	1661	138	14	24	3455	71	63764
대구광역시	2700	북구	341870	229360	228635	725	112510	629	14386	41470	4868	330	31	46	9990	113	156772
대구광역시	2700	수성구	330137	230474	229920	554	99663	562	12665	38408	3851	241	35	62	9423	116	164557
대구광역시	2700	달서구	437650	296170	295341	829	141480	796	17634	54434	6227	413	48	83	12318	162	203226
대구광역시	2700	달성군	118818	79321	78840	481	39497	215	5331	13996	2817	181	25	29	2850	46	53350
인천광역시	2800	중구	71324	41139	40930	209	30185	194	8755	6347	1381	256	10	33	2726	29	21199
인천광역시	2800	동구	59570	37098	36885	213	22472	179	8265	6343	1597	269	16	28	2497	36	17655
인천광역시	2800	남구	326395	190852	190106	746	135543	919	41666	30906	6032	1174	39	96	13493	176	95605
인천광역시	2800	연수구	195285	125814	125435	379	69471	512	25170	19081	4230	578	23	88	9380	93	66280
인천광역시	2800	남동구	317999	192315	191595	720	125684	921	45763	29562	6486	1225	54	128	13906	179	93371
인천광역시	2800	부평구	430072	258527	257544	983	171545	1198	65803	38072	9702	1578	64	181	18371	208	122367
인천광역시	2800	계양구	248876	147573	147038	535	101303	739	39757	21942	5112	897	41	98	10932	146	67374
인천광역시	2800	서구	286985	170454	169815	639	116531	807	43355	24462	6216	1157	41	96	11638	159	81884
인천광역시	2800	강화군	55196	36766	36478	288	18430	219	6166	4975	1070	388	26	40	1488	31	22075
인천광역시	2800	옹진군	14172	9682	9531	151	4490	81	1865	1367	243	90	9	9	383	11	5473
광주광역시	2900	동구	90124	55737	55522	215	34387	142	43391	2206	834	839	15	30	2596	19	5450
광주광역시	2900	서구	222662	144859	144505	354	77803	329	114717	4993	2882	1374	14	76	7057	59	13004
광주광역시	2900	남구	158988	101716	101487	229	57272	235	80271	3609	1555	1318	14	51	4779	39	9616
광주광역시	2900	북구	344625	220888	220333	555	123737	512	176435	7502	4149	2236	25	146	10931	106	18291
광주광역시	2900	광산구	214934	140138	139705	433	74796	329	112774	4210	4177	1351	28	95	6161	66	10514
대전광역시	3000	동구	191518	113405	112861	544	78113	426	29102	33970	2853	1464	44	88	6921	130	37863
대전광역시	3000	중구	204994	126057	125644	413	78937	457	28964	37915	2774	1445	34	81	7841	110	46023
대전광역시	3000	서구	368547	230752	230100	652	137795	744	51476	67522	5088	2309	57	132	16487	235	86050
대전광역시	3000	유성구	176526	114086	113747	339	62440	372	26382	28974	3264	874	26	91	10644	103	43017
대전광역시	3000	대덕구	157392	95964	95596	368	61428	357	23776	27576	3228	1131	43	75	6250	105	33055
울산광역시	3100	중구	177386	112934	112429	505	64452	426	13670	20427	8371	414	19	57	5849	95	63101
울산광역시	3100	남구	252020	163310	162678	632	88710	630	19581	30244	9549	459	35	67	9279	117	92717
울산광역시	3100	동구	136997	87909	87512	397	49088	408	16129	12621	9098	399	27	58	5344	91	43337
울산광역시	3100	북구	106264	71100	70739	361	35164	270	10201	10926	11797	239	15	31	3818	79	33363
울산광역시	3100	울주군	133756	85963	85228	735	47793	365	11155	16687	4792	373	25	58	4315	85	47373
경기도	4100	수원시장안구	210171	133783	133407	376	76388	597	30641	21176	4402	751	31	94	10787	96	64832
경기도	4100	수원시권선구	227968	135070	134626	444	92898	647	31545	21784	4140	834	47	95	10157	105	65272
경기도	4100	수원시팔달구	169529	97064	96690	374	72465	456	21255	15331	2592	645	29	72	7260	78	48972
경기도	4100	수원시영통구	175615	111290	111059	231	64325	542	23571	16999	2895	459	25	68	10290	74	56136
경기도	4100	성남시수정구	202875	113585	113142	443	89290	582	34521	14015	3392	942	35	87	7911	77	51580
경기도	4100	성남시중원구	205596	114597	114215	382	90999	614	34835	14194	3333	969	27	74	7374	92	52703
경기도	4100	성남시분당구	321923	218340	217842	498	103583	736	36746	25735	4080	626	34	139	15577	109	134060
경기도	4100	의정부시	314746	191670	191042	628	123076	1001	46445	23806	5483	1016	40	113	12525	71	100542
경기도	4100	안양시만안구	205444	127123	126574	549	78321	590	32071	18799	3503	823	31	70	9768	79	60840
경기도	4100	안양시동안구	261803	176837	176218	619	84966	760	40389	24255	4300	742	26	97	15119	107	90423
경기도	4100	부천시원미구	333326	202315	201769	546	131011	1010	53939	28392	5636	1119	39	114	15556	135	95829
경기도	4100	부천시소사구	174754	106639	106278	361	68115	584	28322	15003	3110	631	22	81	8117	67	50341
경기도	4100	부천시오정구	140783	79906	79587	319	60877	418	24222	10856	2150	609	23	46	5149	63	36051
경기도	4100	광명시	236416	149929	149494	435	86487	744	41736	19985	4888	911	29	98	11077	82	69944
경기도	4100	평택시	296098	176789	176037	752	119309	843	37120	26749	10314	1451	53	107	10959	122	88319
경기도	4100	양주시	133824	79527	79138	389	54297	456	18409	9468	2088	555	27	71	4465	45	43554
경기도	4100	동두천시	67629	38221	38032	189	29408	183	8741	4739	968	329	11	32	1878	25	21126
경기도	4100	안산시상록구	266293	153609	153066	543	112684	738	43183	21086	4878	1014	37	112	11353	120	70545
경기도	4100	안산시단원구	238970	134675	134154	521	104295	640	38367	19069	4516	977	40	89	9275	76	61105
경기도	4100	고양시덕양구	283032	176306	175776	530	106726	681	43375	21771	4759	845	49	131	12527	128	91510
경기도	4100	고양시일산동구	184138	115854	115536	318	68284	393	25295	13833	2838	383	26	69	9055	73	63571
경기도	4100	고양시일산서구	204400	132601	132265	336	71799	407	29467	15617	3260	470	20	56	10042	82	72844
경기도	4100	과천시	45430	32075	31993	82	13355	117	6308	3736	868	82	8	27	2603	16	18228
경기도	4100	의왕시	101448	66677	66464	213	34771	282	15670	9216	1824	340	10	48	5431	38	33605
경기도	4100	구리시	144987	91250	90994	256	53737	499	20746	11210	2338	472	14	41	6259	45	49370
경기도	4100	남양주시	361363	219433	218730	703	141930	1180	50520	25954	5370	1289	56	150	14217	121	119873
경기도	4100	오산시	103848	60027	59808	219	43821	296	14370	9304	2150	463	12	35	4462	50	28666
경기도	4100	화성시	265536	159514	158846	668	106022	781	34968	22891	6170	1116	39	84	10972	112	81713
경기도	4100	시흥시	277333	157636	157120	516	119697	848	45012	22013	4810	1108	26	105	10577	98	72523
경기도	4100	군포시	203559	133078	132707	371	70481	601	32262	19311	4204	651	26	72	11661	75	63844
경기도	4100	하남시	106527	65545	65324	221	40982	321	15325	8493	1337	354	16	35	4135	36	35272
경기도	4100	파주시	228024	138055	137399	656	89969	615	30084	16782	3812	902	67	94	8497	86	76460
경기도	4100	여주군	82266	49800	49436	364	32466	244	9214	7193	1601	511	27	32	2739	53	27822
경기도	4100	이천시	144497	83665	83144	521	60832	414	15257	11390	2451	719	34	63	5428	65	47323
경기도	4100	용인시처인구	151077	87778	87381	397	63299	449	20100	11629	2271	729	36	88	5375	72	46632
경기도	4100	용인시수지구	211290	140500	140202	298	70790	442	24687	16058	2589	349	16	86	10002	53	85920
경기도	4100	용인시기흥구	217439	140377	140032	345	77062	572	29436	17072	3203	503	16	118	11149	57	77906
경기도	4100	안성시	124360	73933	73489	444	50427	429	16282	11333	3097	685	34	80	4502	76	36971
경기도	4100	김포시	153236	96255	95859	396	56981	418	20342	12079	2439	623	20	60	5762	38	54078
경기도	4100	광주시	171826	104240	103850	390	67586	477	23821	12197	2207	737	36	65	6120	65	58125
경기도	4100	포천시	120695	71154	70689	465	49541	407	14971	8234	2098	704	46	56	3720	57	40396
경기도	4100	연천군	36588	23834	23623	211	12754	125	5441	2865	678	267	19	25	1111	20	13072
경기도	4100	양평군	70828	45899	45534	365	24929	225	7463	5451	1080	473	21	61	2171	39	28550
경기도	4100	가평군	44634	29186	28836	350	15448	190	5462	3669	708	335	32	38	1378	29	16995
강원도	4200	춘천시	196492	125883	125187	696	70609	757	22632	20698	4352	792	51	95	9591	106	66113
강원도	4200	원주시	222473	134205	133446	759	88268	905	25195	23042	6322	990	47	133	8623	188	68001
강원도	4200	강릉시	170634	105225	104573	652	65409	1066	15492	19740	3294	534	47	71	6288	107	57934
강원도	4200	동해시	74275	45514	45188	326	28761	236	7256	9302	1513	262	11	30	2594	42	23942
강원도	4200	삼척시	56902	36635	36306	329	20267	171	6030	8121	1296	268	22	30	1621	51	18696
강원도	4200	태백시	40897	24364	24190	174	16533	96	4050	5280	964	188	6	8	1344	27	12227
강원도	4200	정선군	34720	21600	21354	246	13120	106	4772	4535	978	286	29	25	874	44	9705
강원도	4200	속초시	64461	36959	36794	165	27502	261	6597	5553	1183	201	26	18	2169	21	20765
강원도	4200	고성군	24828	16112	15983	129	8716	100	3053	2373	508	153	10	13	702	13	9058
강원도	4200	양양군	23327	15507	15350	157	7820	118	2985	2691	540	153	7	13	694	16	8133
강원도	4200	인제군	25011	16576	16380	196	8435	118	4193	2571	591	207	41	18	985	16	7640
강원도	4200	홍천군	55527	35562	35230	332	19965	303	8539	5303	1536	514	30	36	1706	53	17210
강원도	4200	횡성군	35075	23250	22978	272	11825	190	5168	3766	1220	298	22	24	1084	44	11162
강원도	4200	영월군	32950	21913	21636	277	11037	125	4922	4059	778	301	21	27	935	33	10435
강원도	4200	평창군	35702	22624	22384	240	13078	190	5198	3974	799	239	21	25	1072	38	10828
강원도	4200	화천군	18066	11854	11707	147	6212	88	2748	1698	528	202	15	16	569	16	5827
강원도	4200	양구군	16648	11163	11040	123	5485	96	2794	1714	511	193	13	12	579	15	5113
강원도	4200	철원군	36667	23949	23777	172	12718	137	5044	2682	1216	304	17	21	1122	19	13215
충청북도	4300	청주시상당구	184975	111986	111392	594	72989	562	24361	28669	3349	948	31	81	7176	82	46133
충청북도	4300	청주시흥덕구	277547	165610	164812	798	111937	764	36408	42510	5506	1343	45	93	11728	164	66251
충청북도	4300	충주시	157206	94852	93985	867	62354	597	20282	18583	2972	1097	41	63	5201	60	45089
충청북도	4300	제천시	105649	66705	66034	671	38944	377	13123	15081	2620	643	38	42	3290	77	30743
충청북도	4300	단양군	26564	17457	17194	263	9107	114	3873	3957	633	225	11	23	785	21	7552
충청북도	4300	청원군	109982	67302	66518	784	42680	275	18173	15678	2309	874	39	65	3893	92	25120
충청북도	4300	영동군	41056	27267	26832	435	13789	96	7113	5502	1170	363	12	34	1033	45	11464
충청북도	4300	보은군	29383	19907	19603	304	9476	88	6978	3729	726	368	15	15	781	23	6880
충청북도	4300	옥천군	44227	29097	28605	492	15130	116	9178	6540	1160	507	22	36	1252	63	9731
충청북도	4300	음성군	68117	39820	39361	459	28297	194	10210	8161	1823	602	31	51	1948	38	16303
충청북도	4300	진천군	46260	27916	27605	311	18344	142	7549	5862	1446	432	14	23	1315	30	10792
충청북도	4300	괴산군	31545	20753	20378	375	10792	38	4786	4787	1163	377	10	27	742	44	8404
충청북도	4300	증평군	23591	13921	13777	144	9670	72	3603	3691	408	186	12	8	740	20	5037
충청남도	4400	천안시	384145	223871	222796	1075	160274	972	47217	58549	8381	2093	65	196	14876	218	90229
충청남도	4400	공주시	100441	60827	60206	621	39614	262	13301	23789	1639	1378	37	54	2732	78	16936
충청남도	4400	보령시	85009	52590	51947	643	32419	190	10172	19876	1686	1217	40	85	1972	79	16630
충청남도	4400	아산시	167540	94122	93533	589	73418	477	18665	27337	5331	1023	28	67	5165	122	35318
충청남도	4400	서산시	115264	69287	68637	650	45977	350	14056	20533	2648	1263	41	57	3285	69	26335
충청남도	4400	태안군	51230	31923	31464	459	19307	137	7355	9836	927	723	28	41	1331	53	11033
충청남도	4400	금산군	46603	28558	28214	344	18045	115	8063	7954	809	1202	27	41	956	42	9005
충청남도	4400	연기군	63317	42235	41231	1004	21082	192	10525	15084	1042	705	31	74	1943	50	11585
충청남도	4400	논산시	102616	61078	60515	563	41538	236	17311	14230	1776	6964	68	79	2317	67	17467
충청남도	4400	계룡시	25719	17187	17114	73	8532	60	3808	3873	308	284	14	9	1105	14	7639
충청남도	4400	부여군	63526	39879	39381	498	23647	141	8562	13634	1469	2183	64	52	1417	75	11784
충청남도	4400	서천군	50538	31927	31539	388	18611	95	8302	10144	1165	939	29	42	946	54	9823
충청남도	4400	홍성군	70470	44195	43742	453	26275	157	6891	20133	1174	651	27	39	1497	56	13117
충청남도	4400	청양군	27914	18733	18493	240	9181	70	3172	8606	538	593	14	23	514	37	4926
충청남도	4400	예산군	72086	48521	48142	379	23565	119	4350	32227	753	283	25	22	825	51	9487
충청남도	4400	당진군	106333	59106	58551	555	47227	241	11249	18454	2486	1091	30	53	2502	66	22379
전라북도	4500	전주시완산구	255669	173723	173277	446	81946	367	140317	6392	2368	1033	19	95	6064	62	16560
전라북도	4500	전주시덕진구	203973	138028	137685	343	65945	330	111433	5061	2839	718	16	58	4877	49	12304
전라북도	4500	군산시	198926	125277	124800	477	73649	191	96750	5203	3354	753	17	95	4050	49	14338
전라북도	4500	익산시	236123	151701	151125	576	84422	291	120624	5407	3235	1360	34	96	4571	78	15429
전라북도	4500	정읍시	97592	65233	64756	477	32359	100	54890	1973	1231	359	16	25	1291	36	4835
전라북도	4500	남원시	69951	49456	49086	370	20495	56	42232	1629	613	331	14	18	856	38	3299
전라북도	4500	김제시	79810	54726	54381	345	25084	75	46019	1675	772	419	16	29	1090	36	4250
전라북도	4500	완주군	65917	44710	44449	261	21207	91	36557	1550	1292	356	16	31	1016	40	3500
전라북도	4500	진안군	22970	16059	15901	158	6911	38	13276	616	234	136	13	14	319	15	1240
전라북도	4500	무주군	21099	14660	14511	149	6439	37	11305	789	277	118	7	12	315	10	1641
전라북도	4500	장수군	19853	14224	14065	159	5629	29	11614	602	309	104	12	2	227	15	1151
전라북도	4500	임실군	26931	19427	19210	217	7504	21	16454	775	200	184	17	13	250	20	1276
전라북도	4500	순창군	25208	19324	19120	204	5884	20	17343	477	248	76	9	12	149	15	771
전라북도	4500	고창군	50039	34236	33919	317	15803	51	28901	1237	533	249	19	26	559	36	2308
전라북도	4500	부안군	50995	36791	36167	624	14204	80	29521	1244	634	354	45	64	939	39	3247
전라남도	4600	목포시	179160	104320	103913	407	74840	200	83225	3255	2164	1518	19	64	3800	64	9604
전라남도	4600	여수시	223347	139798	139086	712	83549	402	109765	4838	3047	2197	37	82	5159	70	13489
전라남도	4600	순천시	196303	125839	125229	610	70464	263	97384	4851	3102	1995	37	72	5283	65	12177
전라남도	4600	나주시	77930	51998	51486	512	25932	108	41506	1500	1204	1713	37	35	1426	37	3920
전라남도	4600	광양시	98340	62793	62489	304	35547	201	43204	3736	2031	1130	14	51	3085	24	9013
전라남도	4600	담양군	41587	28834	28578	256	12753	55	23872	992	436	519	13	28	665	24	1974
전라남도	4600	장성군	38966	29003	28565	438	9963	77	22841	1029	411	589	19	184	898	17	2500
전라남도	4600	곡성군	27604	19181	18954	227	8423	40	15521	654	618	480	17	17	348	12	1247
전라남도	4600	구례군	23231	16090	15950	140	7141	44	12480	656	539	370	6	17	375	15	1448
전라남도	4600	고흥군	66681	44303	43769	534	22378	54	34207	1491	658	2401	28	22	870	35	4003
전라남도	4600	보성군	42498	28000	27682	318	14498	68	20610	1056	744	1033	17	32	867	42	3213
전라남도	4600	화순군	55659	35684	35420	264	19975	75	28138	1261	1099	923	22	18	1214	38	2632
전라남도	4600	장흥군	35526	26481	25992	489	9045	149	19730	986	960	884	39	60	939	29	2216
전라남도	4600	강진군	33693	22087	21867	220	11606	44	16564	976	689	673	14	19	601	22	2265
전라남도	4600	완도군	46449	30496	30129	367	15953	45	24615	977	511	1171	18	26	613	21	2132
전라남도	4600	해남군	67227	45542	44683	859	21685	99	35193	1487	1176	1782	43	67	1259	42	3535
전라남도	4600	진도군	29034	18856	18617	239	10178	33	15164	614	344	413	9	14	412	16	1598
전라남도	4600	영암군	47590	31323	30965	358	16267	61	24145	967	1136	687	15	20	886	17	3031
전라남도	4600	무안군	51219	32718	32371	347	18501	51	26267	927	727	859	16	35	757	29	2703
전라남도	4600	영광군	47268	32207	31785	422	15061	49	25768	1204	861	471	55	32	796	83	2466
전라남도	4600	함평군	31915	22101	21800	301	9814	37	17937	648	305	640	27	17	526	20	1643
전라남도	4600	신안군	39604	23807	23521	286	15797	24	19173	685	416	626	15	26	510	21	2025
경상북도	4700	포항시북구	191990	140685	140060	625	51305	204	6757	8143	2678	148	18	37	3852	54	118169
경상북도	4700	포항시남구	193356	136640	135905	735	56716	291	8910	9754	3355	248	22	45	4433	72	108775
경상북도	4700	울릉군	8561	5834	5793	41	2727	25	554	588	99	14	0	4	162	5	4342
경상북도	4700	경주시	211623	145887	144872	1015	65736	396	8968	16157	6366	342	38	59	4498	100	107948
경상북도	4700	김천시	109767	74936	74267	669	34831	229	4707	13631	1533	234	29	38	2882	76	50908
경상북도	4700	안동시	133566	90343	89321	1022	43223	328	6599	15854	2829	222	46	90	3256	119	59978
경상북도	4700	구미시	280481	172422	171658	764	108059	752	12743	30175	4386	381	31	58	8233	96	114803
경상북도	4700	영주시	91618	63686	63067	619	27932	205	4704	10694	1813	229	31	45	2212	105	43029
경상북도	4700	영천시	86531	60974	59998	976	25557	216	4348	7326	1499	244	78	97	1768	159	44263
경상북도	4700	상주시	87304	62722	61891	831	24582	287	4321	9508	1712	251	40	49	1483	88	44152
경상북도	4700	문경시	61373	43068	42582	486	18305	149	2834	6612	856	158	23	20	1010	53	30867
경상북도	4700	예천군	41837	29903	29383	520	11934	91	2282	4774	880	101	14	26	700	51	20464
경상북도	4700	경산시	181228	117751	117185	566	63477	355	7775	21393	3164	231	32	52	4669	76	79438
경상북도	4700	청도군	39106	29630	29093	537	9476	197	1885	4903	726	130	138	60	930	47	20077
경상북도	4700	고령군	28742	19990	19723	267	8752	65	1462	3518	635	67	13	14	500	29	13420
경상북도	4700	성주군	38277	26370	26050	320	11907	55	1691	4207	666	93	22	13	649	39	18615
경상북도	4700	칠곡군	85733	53075	52716	359	32658	192	4147	9120	1286	142	17	15	2255	40	35502
경상북도	4700	군위군	22558	16452	16234	218	6106	34	1047	2223	394	58	6	7	293	25	12147
경상북도	4700	의성군	53346	38182	37701	481	15164	87	2517	5006	1493	147	38	17	814	57	27525
경상북도	4700	청송군	23708	17932	17566	366	5776	127	1571	2115	609	89	13	17	581	22	12422
경상북도	4700	영양군	16408	11710	11530	180	4698	25	1120	1366	440	48	6	8	296	22	8199
경상북도	4700	영덕군	36879	27649	27259	390	9230	47	1377	1763	482	52	9	8	372	20	23129
경상북도	4700	봉화군	29972	21290	20912	378	8682	124	1812	3402	819	103	17	19	568	67	13981
경상북도	4700	울진군	43430	30078	29706	372	13352	215	2691	3294	607	91	18	21	929	36	21804
경상남도	4800	창원시	362408	231700	230617	1083	130708	888	29081	48987	18327	537	50	91	13263	121	119272
경상남도	4800	마산시	324462	209020	207666	1354	115442	720	20557	45251	8730	480	45	62	9677	114	122030
경상남도	4800	진주시	250883	167564	166102	1462	83319	650	15332	36341	7752	398	55	82	7629	96	97767
경상남도	4800	진해시	121833	79408	78891	517	42425	272	9834	16901	3417	234	29	44	4351	45	43764
경상남도	4800	통영시	104365	64408	63614	794	39957	218	6610	12761	2293	229	33	42	2523	52	38853
경상남도	4800	고성군	45808	29676	29127	549	16132	109	3268	6621	1254	120	16	27	946	50	16716
경상남도	4800	사천시	88020	57258	56535	723	30762	188	5945	13639	2774	185	19	32	2166	67	31520
경상남도	4800	김해시	328602	196486	195430	1056	132116	880	33010	44945	8619	595	57	109	12154	138	94923
경상남도	4800	밀양시	90039	59131	58269	862	30908	192	7002	13612	2255	222	31	52	2324	52	32527
경상남도	4800	거제시	150738	88567	87824	743	62171	375	13614	14908	8622	360	27	37	4225	58	45598
경상남도	4800	의령군	25869	18150	17618	532	7719	80	1849	4472	1103	88	20	50	486	30	9440
경상남도	4800	함안군	51439	36737	36132	605	14702	212	3930	8177	2317	142	33	165	1534	38	19584
경상남도	4800	창녕군	51627	35815	35139	676	15812	157	3698	8217	1831	197	33	207	1347	63	19389
경상남도	4800	양산시	168925	101284	100580	704	67641	413	14220	19877	4367	320	27	64	5490	68	55734
경상남도	4800	하동군	45826	30695	29975	720	15131	105	5097	6120	1677	166	34	30	1086	42	15618
경상남도	4800	남해군	45169	30603	29909	694	14566	127	4709	6505	1404	176	20	30	902	45	15991
경상남도	4800	함양군	33470	25093	24507	586	8377	147	3200	4794	1087	150	33	123	966	40	13967
경상남도	4800	산청군	30086	21140	20604	536	8946	93	2055	4037	1482	87	13	11	552	35	12239
경상남도	4800	거창군	50823	34594	33881	713	16229	128	3637	6982	1708	127	20	26	1345	45	19863
경상남도	4800	합천군	45959	31741	30910	831	14218	109	2815	6339	1626	122	17	26	927	62	18867
제주특별자치도	4900	제주시	296325	181304	179604	1700	115021	929	56798	27824	7059	1124	90	114	15142	227	70297
제주특별자치도	4900	서귀포시	117697	70807	69918	889	46890	344	24772	9671	3895	550	54	38	4279	117	26198
